Rank,Channel_Name,Subscriber_Count,Video_Views,Video_Count,Genre,Channel_Started,Channel_Age,Avg_Views_Per_Video,Upload_Consistency,Health_Score,Creator_Segment,Growth_Score
141,mmoshaya,0.0796467764060356,0.0277758944445956,1169,People & Blogs,2010,16,0.0148937545514528,0.0038612780005794,3.98,Growing Creator,7.21
142,David Guetta,0.0916495198902606,0.0273370421193597,707,Music,2009,17,0.0245182522944988,0.0021814730863448,4.55,Growing Creator,7.03
143,Marta and Rustam,0.0530692729766803,0.0271171703889036,606,Comedy,2021,5,0.0285342248012821,0.006430412174629,3.34,Stable Creator,12.97
144,Ultra Records,0.1092249657064471,0.0264094961065385,4762,Music,2006,20,0.0035706993622938,0.0126694521111941,4.88,Growing Creator,6.06
145,The Tonight Show Starring Jimmy Fallon,0.1156550068587105,0.0263820718142997,8627,Comedy,2006,20,0.0019552450569321,0.0229833483279708,5.22,Growing Creator,6.54
146,SonyMusicSouthVEVO,0.0586419753086419,0.0262649710313081,5462,Music,2014,12,0.0031032302772592,0.0242544615400255,3.27,Stable Creator,9.07
147,Beyoncé,0.093792866941015,0.0260511595782807,238,Music,2005,21,0.0717680536635364,0.0005667464686357,5.51,Growing Creator,4.55
148,MBCentertainment,0.0223336762688614,0.0258539430218365,95914,Entertainment,2009,17,0.0001440953023472,0.3010796139007914,6.08,Growing Creator,9.72
149,That Little Puff,0.0650720164609053,0.025328611185985,672,Pets & Animals,2020,6,0.025170872134938,0.0059394013327437,3.63,Stable Creator,12.78
150,Ishtar Music,0.1546639231824417,0.0249363765155702,4589,Film & Animation,2005,21,0.0036393287369248,0.011624656266996,6.41,Growing Creator,7.2
151,Coldplay,0.0890775034293552,0.0242650366877142,372,Music,2010,16,0.0448981326916908,0.0012027478308604,4.76,Growing Creator,7.44
152,Romeo Santos,0.0715020576131687,0.0239934378122035,54,Music,2005,21,0.3084426842359,9.911709541164092e-05,9.39,Growing Creator,3.58
153,TheWeekndVEVO,0.0290637860082304,0.0232632651074398,136,Music,2011,15,0.1213248452422221,0.0004457727829538,4.15,Growing Creator,5.62
154,Felipe Neto,0.1765260631001372,0.0232418505338841,4018,Entertainment,2006,20,0.0040729454424716,0.0106840604461794,7.12,Growing Creator,8.61
155,Wow Kidz,0.1139403292181069,0.0231280218378258,3843,Film & Animation,2015,11,0.0042537433275037,0.0186076751288175,5.05,Stable Creator,11.72
156,WatchMojo.com,0.0912208504801097,0.0230029146459871,23791,Music,2007,19,0.0006578049402722,0.0667904760911106,4.9,Growing Creator,6.96
157,Jkk Entertainment,0.1422325102880658,0.02257729317394,209,Comedy,2017,9,0.0782488782993019,0.0012012653102026,7.24,Stable Creator,13.88
158,KAROL G,0.1092249657064471,0.0224589242050165,125,Music,2013,13,0.1306563504512539,0.0004750582679492,7.12,Stable Creator,10.05
159,Mother Goose Club Playhouse,0.0607853223593964,0.0221822302024416,1369,Film & Animation,2009,17,0.0118569958481592,0.0042597926344785,3.09,Growing Creator,5.68
160,jacksepticeye,0.1083676268861454,0.022093419665502,5060,Gaming,2007,19,0.0031797331335662,0.014175349779013,4.73,Growing Creator,6.54
161,ImagineDragons,0.1126543209876543,0.0216794667814044,87,Music,2009,17,0.1858624132203466,0.0002350106696638,8.31,Growing Creator,7.66
162,Worldwide Records Bhojpuri,0.1156550068587105,0.0215990919297279,6270,Music,2012,14,0.0025430915252255,0.0238643468183412,5.1,Stable Creator,10.01
163,Goldmines Gaane Sune Ansune,0.141375171467764,0.0215208168505256,3439,Music,2015,11,0.0046595015738836,0.0166475132699076,5.94,Stable Creator,12.75
164,Aphmau,0.0517832647462277,0.0215004443965646,4231,Gaming,2012,14,0.0037799843042834,0.0160912792204821,2.77,Stable Creator,7.34
165,A.O.D,0.0997942386831275,0.0213457462776562,2475,Entertainment,2014,12,0.0064726385263705,0.0109695939248844,4.43,Stable Creator,10.4
166,Koray Zeynep,0.0410665294924554,0.0212596279476032,10475,People & Blogs,2016,10,0.0015019192050468,0.0558677320483691,2.94,Stable Creator,9.76
167,Come Play With Me,0.0410665294924554,0.0211620542100394,391,Entertainment,2014,12,0.0410521933059639,0.0017008747719036,2.92,Stable Creator,7.92
168,Dude Perfect,0.236539780521262,0.020278430822249,368,Sports,2009,17,0.0431170295476528,0.0011171976681918,9.77,Growing Creator,12.59
169,NickyJamTV,0.0843621399176954,0.0201707056345161,363,Music,2012,14,0.043649220992644,0.0013457051800118,4.45,Stable Creator,8.37
170,Fischer's-フィッシャーズ-,0.0178755144032921,0.0201050127549104,3038,Entertainment,2012,14,0.0051813406110859,0.0115433294194787,1.51,Stable Creator,5.87
171,Calvin Harris,0.0642146776406035,0.0200962085173565,77,Music,2007,19,0.2056971695165073,0.0001781700014686,6.97,Growing Creator,4.43
172,Ultra Bollywood,0.1366598079561042,0.02007153093989,8911,Film & Animation,2009,17,0.0017434989933315,0.0279375660967508,5.84,Growing Creator,9.08
173,Mundo Bita,0.034636488340192,0.0197660542529812,201,Music,2011,15,0.078434551568412,0.000677046005581,3.38,Growing Creator,5.74
174,IGN,0.0577846364883401,0.0197656362194261,153181,Gaming,2006,20,6.932136973676528e-05,0.4087310724469724,8.75,Growing Creator,12.39
175,Mikecrack,0.1422325102880658,0.0191102182132731,1815,Gaming,2015,11,0.0085805248450852,0.0087680507479528,5.85,Stable Creator,12.62
176,VanossGaming,0.0946502057613168,0.0190416887637668,1685,Gaming,2011,15,0.0092365990992614,0.0059571915806381,4.16,Growing Creator,8.2
177,Mister Max,0.0847908093278463,0.0189470761110319,1077,People & Blogs,2014,12,0.0144515347379552,0.0047519022857927,3.9,Stable Creator,9.65
178,VEGETTA777,0.1280864197530864,0.0187874633748951,7395,Gaming,2008,18,0.0020714422237976,0.0218883585700707,5.42,Growing Creator,7.99
179,toyorbabytv,0.0757887517146776,0.0187444310713352,1108,Music,2012,14,0.0140079485004877,0.0041857911831531,3.56,Stable Creator,8.03
180,Mazhavil Manorama,0.0457818930041152,0.0187234558713181,80390,Entertainment,2011,15,0.0001598359775368,0.2859934836863427,6.46,Growing Creator,10.79
181,EnriqueIglesiasVEVO,0.0393518518518518,0.0181043953563253,136,Music,2009,17,0.1133781084653186,0.0003888439896918,4.19,Growing Creator,4.62
182,IndiaTV,0.1306584362139917,0.0178886243594294,257886,News & Politics,2006,20,2.599216553170246e-05,0.6881402583143994,15.43,Elite Creator,21.31
183,Family Fun Pack,0.0273491083676268,0.0176978730379269,2398,People & Blogs,2011,15,0.0063628692395778,0.0084940809303791,1.74,Growing Creator,5.51
184,Zee News,0.1087962962962963,0.0176691749822051,163510,News & Politics,2007,19,6.013107283071701e-05,0.4592592622317317,11.23,Growing Creator,15.59
185,Lady Gaga,0.0817901234567901,0.0175554764371317,172,People & Blogs,2008,18,0.0889721860625025,0.0004718651465323,5.18,Growing Creator,5.68
186,MoniLina,0.030778463648834,0.0174189193665787,746,Comedy,2021,5,0.0204494605238244,0.0079247929977584,2.13,Stable Creator,11.8
187,dednahype,0.046639231824417,0.0173572321388884,1381,Comedy,2020,6,0.0110217319202706,0.0122460442113074,2.56,Stable Creator,11.84
188,Luis Fonsi,0.1182270233196159,0.0170055146670212,146,Entertainment,2014,12,0.104033401241786,0.0006112220883717,6.74,Stable Creator,10.87
189,toycantando,0.0985082304526749,0.0169879334897356,536,Music,2009,17,0.0283061064717446,0.0016446261940022,4.55,Growing Creator,6.98
190,El Payaso Plim Plim,0.0530692729766803,0.0168752110453588,1133,Film & Animation,2013,13,0.0133524925703108,0.0046133436243075,2.7,Stable Creator,7.69
191,Chris Brown,0.089934842249657,0.0167451204237425,25,Music,2006,20,0.6055358409101271,2.8591469830281035e-05,15.76,Elite Creator,4.73
192,Dushyant kukreja,0.0809327846364883,0.0163521085040293,763,Entertainment,2015,11,0.0197001760788452,0.003663866897524,3.77,Stable Creator,10.02
193,Dan Rhodes,0.0727880658436214,0.0163197379185572,1579,Entertainment,2015,11,0.0094977840881846,0.0076230057016589,3.34,Stable Creator,9.74
194,Talking Tom,0.1100823045267489,0.0159975567147339,481,Comedy,2010,16,0.0311152694915774,0.0015663360222022,4.98,Growing Creator,8.04
195,KBS WORLD TV,0.0642146776406035,0.015821540200898,61744,Entertainment,2007,19,0.0002084180696188,0.17339994109154,5.33,Growing Creator,7.86
196,Jelly,0.0839334705075445,0.0154173269594049,5902,Gaming,2014,12,0.0024843301752801,0.0262113888084091,3.84,Stable Creator,9.79
197,PopularMMOs,0.0577846364883401,0.0153440787748999,4685,Gaming,2012,14,0.0031351363494271,0.0178220161942085,2.81,Stable Creator,7.42
198,Disney Junior,0.046639231824417,0.0147175502066288,3718,Entertainment,2008,18,0.0039239889932063,0.010985901652121,2.32,Growing Creator,4.4
199,Miss Katy,0.0839334705075445,0.0145216950358254,1021,People & Blogs,2014,12,0.0143379948047511,0.0045028388152711,3.73,Stable Creator,9.48
200,Drake,0.1023662551440329,0.0144731920517186,58,Music,2009,17,0.2527815300184138,0.0001439664598512,9.07,Growing Creator,7.03
201,Sagawa /さがわ,0.0569272976680384,0.0144327872964064,4913,Entertainment,2021,5,0.0029492230096726,0.05240397078333,3.27,Stable Creator,12.99
202,LuisFonsiVEVO,0.0569272976680384,0.0142412498766062,96,Music,2009,17,0.1522027049680643,0.0002632657692607,5.47,Growing Creator,5.21
203,Saturday Night Live,0.0414951989026063,0.014138991127751,8226,Entertainment,2013,13,0.0017403997343201,0.033733242466221,2.42,Stable Creator,7.56
204,Raffy Tulfo in Action,0.0942215363511659,0.0141304265981322,9494,News & Politics,2016,10,0.0015032732292933,0.050632062093048,4.51,Stable Creator,11.62
205,JuegaGerman,0.1872427983539094,0.0139585422793402,2024,Gaming,2013,13,0.0071577926375641,0.0082712922875169,7.24,Stable Creator,13.02
206,Tlnovelas,0.0732167352537723,0.0135856731393943,35232,News & Politics,2013,13,0.0003772728589586,0.1446048043053182,5.15,Stable Creator,10.37
207,Mnet K-POP,0.0706447187928669,0.0135707538873782,31339,Entertainment,2006,20,0.000428217870602,0.0835911648546028,4.14,Growing Creator,5.67
