Rank,Channel_Name,Subscriber_Count,Video_Views,Video_Count,Genre,Channel_Started,Channel_Age,Avg_Views_Per_Video,Upload_Consistency,Health_Score
58,BabyBus - Kids Songs and Cartoons,0.11994170096021947,0.06954574666786545,1999,Education,2016,10,0.013073257437761422,0.010630689702496227,6.71
59,5-Minute Crafts,0.32227366255144035,0.0675938214659578,6022,Howto & Style,2016,10,0.004249282974740708,0.032101739886244075,13.87
60,La Granja de Zenón,0.12980109739369,0.06755505677394696,613,Music,2013,13,0.04202778173912369,0.0024785138769798497,7.45
61,GMM GRAMMY OFFICIAL,0.08136145404663923,0.0664045473463116,14685,Music,2010,16,0.0017057266217703202,0.048946213726955276,5.61
62,Vijay Television,0.06550068587105624,0.06631834747870197,40319,Entertainment,2007,19,0.0005994235994061442,0.1132174051224678,5.99
63,Galinha Pintadinha,0.12379972565157751,0.0662324430604101,65,Film & Animation,2006,20,0.39237515890727287,0.00013533295719666356,14.17
64,GR6 EXPLODE,0.1490912208504801,0.06610341464537328,4156,Music,2014,12,0.006097142797586491,0.018445945602504867,7.6
65,Katy Perry,0.17223936899862827,0.06562345186322119,120,Music,2008,18,0.21145795463580586,0.00031768299811423375,12.23
66,Aditya Music,0.10236625514403293,0.06429133843928714,21020,Music,2008,18,0.0011604551708510674,0.062287046496930766,6.47
67,TaylorSwiftVEVO,0.09422153635116598,0.06422153836123257,262,Music,2009,17,0.09571177047930496,0.0007844153840495927,7.15
68,shakiraVEVO,0.06292866941015089,0.061898485536579874,194,Music,2009,17,0.12676342325991796,0.0005709324093168276,6.6
69,FGTeeV,0.07707475994513031,0.058851372803281586,1674,Gaming,2013,13,0.014279545944491582,0.006834387649892614,4.85
70,1theK (원더케이),0.0886488340192044,0.05862292908371953,17842,Music,2011,15,0.0013065900473299276,0.06344459862659287,5.84
71,KatyPerryVEVO,0.08993484224965706,0.058169628931423,173,Music,2009,17,0.13763950669214917,0.0005050038435905325,7.65
72,Ariana Grande,0.20824759945130317,0.05779848002720019,146,Music,2007,19,0.1625670495710363,0.0003719900706339722,12.28
73,Aaj Tak,0.22282235939643347,0.05738825827614339,242010,News & Politics,2009,17,6.409686035384708e-05,0.7597415062031156,20.92
74,Maria Clara & JP,0.1383744855967078,0.056543080533714506,699,People & Blogs,2015,11,0.03355248302743688,0.0033533462070036283,7.26
75,Genevieve's Playhouse - Learning Videos for Kids,0.12165637860082304,0.05614684806090999,595,Education,2016,10,0.039283488684333276,0.0031374372893761726,6.78
76,MrBeast,0.5627572016460906,0.055764041202163266,735,Entertainment,2012,14,0.03168540117841954,0.0027638420835938335,22.04
77,Shemaroo,0.17609739368998628,0.055507738736184815,10873,Entertainment,2007,19,0.002105583930932847,0.03050398835955991,8.33
78,shfa2 - شفا,0.14780521262002744,0.05519677841457416,1497,People & Blogs,2017,9,0.015460451664033356,0.00883921173953044,7.27
79,TheEllenShow,0.14823388203017832,0.05457907902682157,15189,Entertainment,2006,20,0.001484907908221872,0.040494289330425905,7.46
80,SSSniperWolf,0.12680041152263374,0.05452627723783356,3224,Gaming,2013,13,0.007117161930374244,0.013197822473657726,6.41
81,Ozuna,0.13794581618655694,0.05415787249850614,164,Music,2016,10,0.14007009431317738,0.0008371582366306287,9.27
82,J Balvin,0.1293724279835391,0.05375953034624847,134,Music,2011,15,0.17081383678851111,0.00043865668379613397,9.56
83,Masha and The Bear,0.15209190672153636,0.053572696766850246,1063,Film & Animation,2014,12,0.021466284225380834,0.004689636418162319,7.43
84,CookieSwirlC,0.06678669410150892,0.05350667885837918,3683,Entertainment,2013,13,0.006167984768219029,0.015082220269856556,4.29
85,Peppa Pig - Official Channel,0.11394032921810698,0.05212229441477637,2645,Film & Animation,2013,13,0.008492093353244246,0.010820771658844822,5.88
86,Goldmines,0.3385631001371742,0.052061339957364665,5350,Film & Animation,2012,14,0.004179031007961255,0.0203571265191601,13.8
87,Daddy Yankee,0.14523319615912209,0.05122597858299626,476,Music,2011,15,0.04694702261514182,0.001655509639772895,7.58
88,Sesame Street,0.0830761316872428,0.05099753589216086,3564,Entertainment,2006,20,0.0062275642468238995,0.009472544564570974,4.7
89,Maroon 5,0.14008916323731138,0.05089701498439322,163,Music,2006,20,0.13673862903997488,0.0003968496012443008,9.17
90,Nick Jr.,0.09807956104252401,0.0503886340918051,5145,Film & Animation,2012,14,0.004278773443137416,0.019575626343799085,5.32
91,Little Angel: Nursery Rhymes & Kids Songs,0.11093964334705075,0.05027423652453777,1232,Education,2015,11,0.017956140013856352,0.005939401332743714,5.84
92,etvteluguindia,0.06421467764060357,0.0501098522958145,120122,Entertainment,2010,16,0.00015057890545005923,0.40064940758474515,9.76
93,LUCCAS NETO - LUCCAS TOON,0.1503772290809328,0.04988602681294608,2067,People & Blogs,2014,12,0.010649514075437317,0.009154988639655987,7.11
94,LeoNata Family,0.05349794238683128,0.04960667552656029,1871,People & Blogs,2021,5,0.011737368668052282,0.019933210326476464,3.89
95,The Weeknd,0.11736968449931412,0.04946065275697067,131,Music,2011,15,0.16785162373165866,0.00042798253505949566,8.96
96,Rihanna,0.1606652949245542,0.049226856918826604,82,Entertainment,2005,21,0.26757600193711634,0.00017027808698922927,12.45
98,Bollywood Classics,0.12680041152263374,0.046330911290419295,1970,Music,2012,14,0.01079747754929302,0.007471904115646778,6.16
99,HUM TV,0.0929355281207133,0.04607853790691554,89867,Entertainment,2011,15,0.0002032018008825786,0.31971311954538295,9.43
100,Spinnin' Records,0.11222565157750344,0.045792719342761114,11110,Music,2007,19,0.0018767592484496252,0.031169718162344973,5.81
101,A4,0.1743827160493827,0.04545560953574767,722,Gaming,2014,12,0.029265435942683417,0.0031730177851649667,8.1
102,Inside Edition,0.03335048010973937,0.045162773637099606,29223,News & Politics,2012,14,0.0006881384139234748,0.11136568108693332,4.21
103,Maluma,0.1083676268861454,0.044724193953677834,21,Music,2018,8,1.0000000000000002,0.00010197624239466902,25.14
104,shfa,0.1443758573388203,0.04433811912290441,936,People & Blogs,2015,11,0.022316599348082018,0.004503243139086931,6.9
105,Alan Chikin Chow,0.06592935528120714,0.04368788150136472,702,Comedy,2020,6,0.02957263222417338,0.00620625505115967,4.3
106,jbalvinVEVO,0.04063786008230452,0.04360060292366993,235,Music,2010,16,0.08832942209290817,0.0007457608380731638,4.51
107,T-Series Apna Punjab,0.12894375857338822,0.043383645907335795,7272,Music,2011,15,0.002815624953086315,0.02583601457783742,6.26
108,Bounce Patrol - Kids Songs,0.10193758573388204,0.043309362857952886,238,Music,2013,13,0.08695924368575492,0.0009389731938108705,6.62
109,Voot Kids,0.16838134430727023,0.04208423258805797,4064,Entertainment,2016,10,0.004997767628844928,0.021651748273075224,7.58
110,Disney Latinoamérica,0.07493141289437585,0.04201075610424517,7985,Entertainment,2007,19,0.002525187820430803,0.02239163531971483,4.27
111,WORLDSTARHIPHOP,0.09679355281207133,0.04198209177223048,6737,Music,2008,18,0.0029983085693645016,0.01993736138431849,5.01
112,StarPlus,0.0985082304526749,0.04189073233343905,28853,Entertainment,2006,20,0.0006736367399741845,0.07695718141478218,5.87
113,LEGO,0.05135459533607682,0.04143998572932845,29807,Entertainment,2005,21,0.0006478316306771367,0.07571529503855401,4.19
114,EminemVEVO,0.09036351165980795,0.04109046717773205,104,Music,2009,17,0.1945765479521243,0.00028838141334699144,8.29
115,DONA 도나,0.11265432098765432,0.04091898325300216,163,Entertainment,2018,8,0.12391442410749161,0.001049306942771314,7.66
116,Markiplier,0.13194444444444445,0.040407363748538365,5422,Gaming,2012,14,0.0036728046251467915,0.020631604629530797,6.21
117,ArianaGrandeVevo,0.06035665294924554,0.040285488055247516,177,Music,2010,16,0.11336082607710368,0.0005522918922215954,5.6
118,BANGTANTV,0.29998285322359397,0.03999264913867626,2122,Music,2012,14,0.00939589277389063,0.00805135790420714,12.01
119,Maroon5VEVO,0.04621056241426612,0.039873189441605124,143,Music,2009,17,0.1397177317484704,0.0004108201782672538,5.61
120,CVS 3D Rhymes & Kids Songs,0.12165637860082304,0.03959059266403891,338,Education,2008,18,0.058916783789479614,0.0009640620049439947,6.64
121,GRAMMY GOLD OFFICIAL,0.061642661179698216,0.03886469522533067,6012,Music,2014,12,0.0032553088768763373,0.026700620625505118,3.79
122,Like Nastya Show,0.1649519890260631,0.03827873288832689,577,Entertainment,2017,9,0.03402253855851762,0.003383535718581999,7.65
123,Badabun,0.18338477366255143,0.037870327458987156,17002,Entertainment,2014,12,0.0011170966623271564,0.07557932671536112,8.71
124,DanTDM,0.09722222222222222,0.03735895039760367,3642,Gaming,2012,14,0.0053089518547321645,0.013845895789810764,4.84
125,SMOL,0.06035665294924554,0.03673757161054706,3008,People & Blogs,2021,5,0.006391740700882781,0.03206971744003416,3.82
126,RihannaVEVO,0.09207818930041152,0.03663128804913326,118,Music,2009,17,0.1635704688172879,0.00033233379049785487,7.6
127,JYP Entertainment,0.09765089163237312,0.035993249896998473,1602,Music,2008,18,0.011933661087742636,0.004711874228030315,4.81
128,Bruno Mars,0.1392318244170096,0.03510133168148794,99,Music,2006,20,0.1917316835203371,0.00022606322145808872,9.76
129,MalumaVEVO,0.04449588477366255,0.03492207507362995,178,Music,2011,15,0.10641137997889545,0.0005952108652668284,4.74
130,Rotana,0.07450274348422496,0.03285657784540002,8257,Music,2012,14,0.0022086377291349077,0.031439180225377034,4.11
131,Sun TV,0.07450274348422496,0.03272392225721956,48263,People & Blogs,2016,10,0.00034939917791078026,0.2575450982784123,7.46
132,BuzzFeedVideo,0.07064471879286695,0.03155736918909453,7493,People & Blogs,2011,15,0.002400940443547132,0.026622343534769773,3.87
133,Marília Mendonça,0.09422153635116598,0.03144999022394609,120,Music,2013,13,0.15179827725715261,0.00045453105884036513,7.28
134,ZEE5,0.04406721536351166,0.03008187785665422,93640,Entertainment,2018,8,0.00015787044810835593,0.6246664328519801,11.82
135,Eros Now Music,0.12165637860082304,0.029448033316006712,9884,Entertainment,2007,19,0.00176729199690076,0.02772590070152432,5.59
136,Like Nastya ESP,0.13880315500685872,0.02940931786636141,695,Entertainment,2017,9,0.02556681869646155,0.004083285469094951,6.31
138,PowerKids TV,0.1285150891632373,0.028487378340630927,4210,Film & Animation,2014,12,0.00414668554637969,0.01868611394907923,5.72
139,infobells - Tamil,0.10322359396433471,0.028208515816413725,505,Education,2014,12,0.0347005331013216,0.002207896836893925,5.19
140,Enrique Iglesias,0.08479080932784637,0.028016217099891362,434,Music,2007,19,0.04029002815220382,0.001180978185410766,4.63
141,mmoshaya,0.07964677640603567,0.027775894444595682,1169,People & Blogs,2010,16,0.014893754551452879,0.003861278000579454,3.98
142,David Guetta,0.09164951989026063,0.02733704211935973,707,Music,2009,17,0.024518252294498867,0.0021814730863448937,4.55
143,Marta and Rustam,0.05306927297668039,0.027117170388903607,606,Comedy,2021,5,0.02853422480128212,0.006430412174629074,3.34
144,Ultra Records,0.10922496570644719,0.026409496106538595,4762,Music,2006,20,0.003570699362293843,0.012669452111194131,4.88
145,The Tonight Show Starring Jimmy Fallon,0.11565500685871055,0.026382071814299725,8627,Comedy,2006,20,0.001955245056932105,0.02298334832797085,5.22
146,SonyMusicSouthVEVO,0.05864197530864197,0.026264971031308114,5462,Music,2014,12,0.003103230277259261,0.02425446154002552,3.27
147,Beyoncé,0.09379286694101509,0.02605115957828074,238,Music,2005,21,0.07176805366353647,0.0005667464686357931,5.51
148,MBCentertainment,0.022333676268861454,0.025853943021836544,95914,Entertainment,2009,17,0.0001440953023472067,0.3010796139007914,6.08
149,That Little Puff,0.06507201646090535,0.025328611185985,672,Pets & Animals,2020,6,0.02517087213493802,0.005939401332743714,3.63
150,Ishtar Music,0.1546639231824417,0.02493637651557027,4589,Film & Animation,2005,21,0.0036393287369248027,0.01162465626699604,6.41
151,Coldplay,0.08907750342935529,0.024265036687714243,372,Music,2010,16,0.04489813269169084,0.0012027478308604888,4.76
152,Romeo Santos,0.07150205761316873,0.0239934378122035,54,Music,2005,21,0.3084426842359,9.911709541164093e-05,9.39
153,TheWeekndVEVO,0.02906378600823045,0.02326326510743986,136,Music,2011,15,0.12132484524222216,0.00044577278295389273,4.15
154,Felipe Neto,0.1765260631001372,0.023241850533884147,4018,Entertainment,2006,20,0.004072945442471698,0.010684060446179417,7.12
155,Wow Kidz,0.11394032921810698,0.023128021837825828,3843,Film & Animation,2015,11,0.004253743327503739,0.01860767512881757,5.05
156,WatchMojo.com,0.09122085048010974,0.02300291464598716,23791,Music,2007,19,0.0006578049402722771,0.06679047609111069,4.9
157,Jkk Entertainment,0.14223251028806586,0.022577293173940062,209,Comedy,2017,9,0.07824887829930198,0.0012012653102026225,7.24
158,KAROL G,0.10922496570644719,0.022458924205016557,125,Music,2013,13,0.13065635045125396,0.0004750582679492849,7.12
159,Mother Goose Club Playhouse,0.06078532235939643,0.02218223020244161,1369,Film & Animation,2009,17,0.011856995848159295,0.004259792634478577,3.09
160,jacksepticeye,0.1083676268861454,0.022093419665502025,5060,Gaming,2007,19,0.0031797331335662728,0.01417534977901302,4.73
161,ImagineDragons,0.11265432098765432,0.021679466781404498,87,Music,2009,17,0.18586241322034666,0.00023501066966380018,8.31
162,Worldwide Records Bhojpuri,0.11565500685871055,0.021599091929727914,6270,Music,2012,14,0.0025430915252255787,0.023864346818341237,5.1
163,Goldmines Gaane Sune Ansune,0.14137517146776407,0.0215208168505256,3439,Music,2015,11,0.004659501573883676,0.016647513269907634,5.94
164,Aphmau,0.051783264746227714,0.021500444396564615,4231,Gaming,2012,14,0.0037799843042834957,0.016091279220482167,2.77
165,A.O.D,0.09979423868312758,0.021345746277656265,2475,Entertainment,2014,12,0.006472638526370517,0.01096959392488449,4.43
166,Koray Zeynep,0.041066529492455414,0.0212596279476032,10475,People & Blogs,2016,10,0.0015019192050468935,0.055867732048369145,2.94
167,Come Play With Me,0.041066529492455414,0.021162054210039465,391,Entertainment,2014,12,0.04105219330596399,0.0017008747719036074,2.92
168,Dude Perfect,0.236539780521262,0.020278430822249095,368,Sports,2009,17,0.04311702954765288,0.0011171976681918442,9.77
169,NickyJamTV,0.08436213991769548,0.02017070563451611,363,Music,2012,14,0.04364922099264402,0.001345705180011894,4.45
170,Fischer's-フィッシャーズ-,0.017875514403292183,0.020105012754910494,3038,Entertainment,2012,14,0.005181340611085945,0.011543329419478797,1.51
171,Calvin Harris,0.06421467764060357,0.020096208517356585,77,Music,2007,19,0.20569716951650735,0.00017817000146869865,6.97
172,Ultra Bollywood,0.13665980795610425,0.020071530939890052,8911,Film & Animation,2009,17,0.0017434989933315266,0.027937566096750844,5.84
173,Mundo Bita,0.03463648834019205,0.019766054252981245,201,Music,2011,15,0.07843455156841207,0.000677046005581055,3.38
174,IGN,0.05778463648834019,0.019765636219426196,153181,Gaming,2006,20,6.932136973676528e-05,0.4087310724469724,8.75
175,Mikecrack,0.14223251028806586,0.019110218213273182,1815,Gaming,2015,11,0.008580524845085265,0.00876805074795285,5.85
176,VanossGaming,0.09465020576131687,0.019041688763766836,1685,Gaming,2011,15,0.00923659909926146,0.005957191580638111,4.16
177,Mister Max,0.08479080932784637,0.01894707611103192,1077,People & Blogs,2014,12,0.014451534737955235,0.004751902285792709,3.9
178,VEGETTA777,0.12808641975308643,0.018787463374895168,7395,Gaming,2008,18,0.0020714422237976563,0.021888358570070706,5.42
179,toyorbabytv,0.07578875171467764,0.01874443107133527,1108,Music,2012,14,0.014007948500487796,0.004185791183153144,3.56
180,Mazhavil Manorama,0.045781893004115226,0.018723455871318163,80390,Entertainment,2011,15,0.000159835977536871,0.2859934836863427,6.46
181,EnriqueIglesiasVEVO,0.039351851851851846,0.018104395356325333,136,Music,2009,17,0.11337810846531868,0.0003888439896918221,4.19
182,IndiaTV,0.13065843621399176,0.0178886243594294,257886,News & Politics,2006,20,2.599216553170246e-05,0.6881402583143994,15.43
183,Family Fun Pack,0.027349108367626888,0.01769787303792699,2398,People & Blogs,2011,15,0.006362869239577829,0.008494080930379136,1.74
184,Zee News,0.1087962962962963,0.017669174982205126,163510,News & Politics,2007,19,6.0131072830717013e-05,0.45925926223173175,11.23
185,Lady Gaga,0.08179012345679013,0.017555476437131783,172,People & Blogs,2008,18,0.0889721860625025,0.0004718651465323418,5.18
186,MoniLina,0.030778463648834017,0.017418919366578738,746,Comedy,2021,5,0.02044946052382448,0.007924792997758428,2.13
187,dednahype,0.04663923182441701,0.01735723213888849,1381,Comedy,2020,6,0.011021731920270632,0.012246044211307481,2.56
188,Luis Fonsi,0.1182270233196159,0.017005514667021222,146,Entertainment,2014,12,0.104033401241786,0.0006112220883717857,6.74
189,toycantando,0.0985082304526749,0.016987933489735645,536,Music,2009,17,0.028306106471744644,0.0016446261940022049,4.55
190,El Payaso Plim Plim,0.05306927297668039,0.016875211045358822,1133,Film & Animation,2013,13,0.013352492570310811,0.0046133436243075004,2.7
191,Chris Brown,0.08993484224965706,0.016745120423742536,25,Music,2006,20,0.6055358409101271,2.8591469830281035e-05,15.76
192,Dushyant kukreja,0.08093278463648834,0.01635210850402937,763,Entertainment,2015,11,0.01970017607884522,0.0036638668975240134,3.77
193,Dan Rhodes,0.07278806584362141,0.016319737918557266,1579,Entertainment,2015,11,0.009497784088184656,0.007623005701658928,3.34
194,Talking Tom,0.11008230452674897,0.015997556714733928,481,Comedy,2010,16,0.031115269491577488,0.0015663360222022294,4.98
195,KBS WORLD TV,0.06421467764060357,0.015821540200898078,61744,Entertainment,2007,19,0.00020841806961886838,0.17339994109154006,5.33
196,Jelly,0.08393347050754459,0.01541732695940496,5902,Gaming,2014,12,0.0024843301752801874,0.026211388808409196,3.84
197,PopularMMOs,0.05778463648834019,0.01534407877489994,4685,Gaming,2012,14,0.003135136349427124,0.017822016194208513,2.81
198,Disney Junior,0.04663923182441701,0.01471755020662887,3718,Entertainment,2008,18,0.003923988993206314,0.01098590165212102,2.32
199,Miss Katy,0.08393347050754459,0.014521695035825434,1021,People & Blogs,2014,12,0.014337994804751123,0.004502838815271149,3.73
200,Drake,0.10236625514403293,0.014473192051718646,58,Music,2009,17,0.25278153001841386,0.00014396645985129743,9.07
201,Sagawa /さがわ,0.05692729766803842,0.014432787296406464,4913,Entertainment,2021,5,0.0029492230096726233,0.052403970783330034,3.27
202,LuisFonsiVEVO,0.05692729766803842,0.014241249876606278,96,Music,2009,17,0.15220270496806432,0.0002632657692607838,5.47
203,Saturday Night Live,0.041495198902606306,0.01413899112775107,8226,Entertainment,2013,13,0.001740399734320181,0.03373324246622101,2.42
204,Raffy Tulfo in Action,0.09422153635116598,0.014130426598132205,9494,News & Politics,2016,10,0.0015032732292933357,0.05063206209304808,4.51
205,JuegaGerman,0.18724279835390947,0.013958542279340201,2024,Gaming,2013,13,0.007157792637564106,0.008271292287516992,7.24
206,Tlnovelas,0.0732167352537723,0.01358567313939437,35232,News & Politics,2013,13,0.00037727285895860775,0.1446048043053182,5.15
207,Mnet K-POP,0.07064471879286695,0.013570753887378252,31339,Entertainment,2006,20,0.0004282178706020005,0.08359116485460286,4.14
208,Rajshri,0.12208504801097395,0.013569958691431537,3863,Music,2006,20,0.0037132018081553336,0.010270437182634685,4.91
209,Blippi - Educational Videos for Kids,0.05821330589849108,0.01342980080458913,591,Education,2014,12,0.02440746632113294,0.002590387166623462,2.97
210,Marshmello,0.22453703703703703,0.01339581717085999,410,Entertainment,2015,11,0.03517995704765808,0.0019511512138725119,8.99
211,Genierock,0.047925240054869686,0.013275872143959387,1623,Music,2008,18,0.008846486068018395,0.004774140095660705,2.32
212,infobells - Telugu,0.09979423868312758,0.012930651124743474,460,Education,2014,12,0.03114054444032777,0.0020077565480819573,4.53
213,CalvinHarrisVEVO,0.03463648834019205,0.012851332877717857,174,Music,2009,17,0.0822853751352181,0.0005081432991013085,3.25
214,Saregama Music,0.12337105624142661,0.012297698660740257,6796,Entertainment,2013,13,0.002056929815420838,0.02786246066106997,5.15
215,The Chainsmokers,0.08050411522633745,0.0119576733692787,166,Music,2012,14,0.08512474349964162,0.0005947025724698456,4.89
216,Fox News,0.02820644718792867,0.011938665060481142,89842,News & Politics,2006,20,0.00012365989936387502,0.2397085957394898,4.94
217,Trap Nation,0.11479766803840877,0.011882756487768105,2626,Music,2012,14,0.005343584771236363,0.009972704676802025,4.63
218,Asianet,0.021776406035665292,0.011877119055994874,109018,Entertainment,2008,18,9.587262379969954e-05,0.32320475219878997,5.97
219,Shorts Break,0.06935871056241427,0.011666388853794667,371,Comedy,2021,5,0.03790508961447886,0.003921987221519084,3.59
